term,estimate,std_error,statistic,p_value,conf_low,conf_high,model
inter_rural_mujer,0.05295743146291907,0.003115652565122979,16.99721979778216,8.610803095827442e-65,0.046850864646938196,0.059063998278899944,model_interaction_lpm
inter_omega_mujer,0.0005753751158091502,0.0001462742867726924,3.9335356097361984,8.370543145616672e-05,0.00028868278187038946,0.0008620674497479109,model_interaction_lpm
omega,0.0030917986597749675,0.0003236307679180433,9.553475646536606,1.2541656421618556e-21,0.002457494010366562,0.003726103309183373,model_extended_logit
mujer,1.9137848872631174,0.004007774310989626,477.51812820781146,0.0,1.905929793955413,1.9216399805708217,model_extended_logit
capital_humano,-0.04556672451238527,0.00021079851820839083,-216.16245170821836,0.0,-0.045979882016068126,-0.04515356700870241,model_extended_logit
edad,0.05906044089939476,0.0005053758094967237,116.86440029294208,0.0,0.05806992251412341,0.06005095928466611,model_extended_logit
edad2,-0.0005237431603289328,6.318836964100327e-06,-82.8860062863646,0.0,-0.0005361278532027498,-0.0005113584674551157,model_extended_logit
ruralidad,0.3852093531058098,0.005948821989561625,64.75388804400856,0.0,0.3735498762558291,0.3968688299557905,model_extended_logit
inter_rural_mujer,-0.25281397624430774,0.006223127394562646,-40.62490773773967,0.0,-0.26501108180885513,-0.24061687067976037,model_extended_logit
inter_omega_mujer,-0.004170747854192691,0.00037022540279240654,-11.265428635461086,1.9440364338326743e-29,-0.004896376309827643,-0.0034451193985577397,model_extended_logit
mujer,1.8981919418231863,0.003903541590331854,486.27429678847466,0.0,1.8905411408939816,1.905842742752391,model_components_logit
capital_humano,-0.050765633658754535,0.00020425643994927833,-248.53871765982424,0.0,-0.05116596892466549,-0.05036529839284358,model_components_logit
edad,0.06036010425697499,0.0005035940595297526,119.85865026552976,0.0,0.05937307803746835,0.061347130476481625,model_components_logit
edad2,-0.000574713634129067,6.287603075836136e-06,-91.40424851844526,0.0,-0.0005870371097067891,-0.0005623901585513449,model_components_logit
ruralidad,0.5324005648996655,0.005415455164960816,98.31132355123425,0.0,0.5217864678164509,0.5430146619828801,model_components_logit
inter_rural_mujer,-0.26754311078885734,0.005775960938414613,-46.32010389985301,0.0,-0.27886378620426017,-0.2562224353734545,model_components_logit
