term,estimate,std_error,statistic,p_value,conf_low,conf_high,model
v06_piso_3,-0.07291467797703263,0.007012391415008259,-10.397976048652549,2.5325517325365213e-25,-0.0866587125959467,-0.05917064335811858,model_extended_logit
v06_piso_4,-0.11532877502850292,0.00435423610236019,-26.486569014020528,1.3841493065499757e-154,-0.12386292096931295,-0.10679462908769288,model_extended_logit
v06_piso_5,-0.023607990912255187,0.0037335683490203834,-6.3231709467564645,2.562495432843633e-10,-0.03092565041015381,-0.016290331414356565,model_extended_logit
v06_piso_6,-0.1609352329290924,0.010748139059742165,-14.973311382980288,1.0971933384430055e-50,-0.18200119838701523,-0.13986926747116957,model_extended_logit
v06_piso_7,-0.04503363370293246,0.007605606988524186,-5.921109751119406,3.1977635555096294e-09,-0.059940349481006,-0.030126917924858915,model_extended_logit
v06_piso_8,-0.062041334330524195,0.014017291798702683,-4.426057131539931,9.597111613291981e-06,-0.08951472141677012,-0.034567947244278266,model_extended_logit
v06_piso_9,-0.13579167414116908,0.015706890770470345,-8.645356749819861,5.363745118910002e-18,-0.16657661436039553,-0.10500673392194262,model_extended_logit
v09_energia_2,0.23195921663762847,0.011017904404565687,21.05293421691945,2.1495201862563706e-98,0.2103645208195745,0.25355391245568243,model_extended_logit
v09_energia_3,-0.01586388080287629,0.008885822194651984,-1.7853025252321746,0.07421225949182852,-0.033279772277420835,0.0015520106716682587,model_extended_logit
v09_energia_4,-0.09689317212469084,0.014644980827758855,-6.616135129452304,3.6871135500451056e-11,-0.12559680710137777,-0.0681895371480039,model_extended_logit
v09_energia_5,-0.02969285358709161,0.004848114043851923,-6.124619453774245,9.090059629599936e-10,-0.039194982505984216,-0.020190724668199003,model_extended_logit
v15_servsan_2,-0.03027576763819792,0.0037814547136894457,-8.006381123273803,1.1813323322024363e-15,-0.037687282686198455,-0.022864252590197386,model_extended_logit
v15_servsan_3,-0.4485224670282265,0.004258823470899035,-105.31605033479909,0.0,-0.4568696076477025,-0.4401753264087505,model_extended_logit
v16_desague_1,-0.6406758997155917,0.0039642238719289,-161.6144598321723,0.0,-0.6484456357312263,-0.6329061636999571,model_extended_logit
v16_desague_2,-0.5329457605901171,0.004883200214802842,-109.13862572633317,0.0,-0.542516657140429,-0.5233748640398053,model_extended_logit
v16_desague_3,-0.437790440296183,0.0038305058512981285,-114.29050294958283,0.0,-0.4452980938072973,-0.43028278678506876,model_extended_logit
v16_desague_4,-0.4179791323372077,0.009363571035147511,-44.63885955136805,0.0,-0.43633139433277923,-0.39962687034163613,model_extended_logit
v16_desague_5,-0.5306804947228274,0.013956585257609538,-38.02366301839376,0.0,-0.5580348991749048,-0.50332609027075,model_extended_logit
v16_desague_6,-0.37792242924998515,0.009930536134684411,-38.056598770132304,0.0,-0.3973859224211402,-0.3584589360788301,model_extended_logit
